,v1,v2,v3,v4,v5,v6,v7,v8,v9,Class
36293,55,0,97,4,50,15,41,48,6,0
27581,55,0,79,0,16,1,23,63,40,0
15680,55,0,79,0,10,-20,23,68,46,0
11501,55,0,76,0,-22,-19,21,99,78,0
30885,55,5,77,0,28,16,22,49,28,0
3999,82,0,86,0,-10,17,3,96,92,0
7536,56,0,77,2,0,0,22,77,56,0
22470,71,32,82,0,-42,-4,11,126,116,0
37995,77,0,81,0,-40,19,4,123,118,0
35428,55,0,78,0,6,-17,23,73,50,0
17287,84,1,87,0,-2,0,3,90,86,0
34584,104,2,106,4,70,0,1,36,34,0
646,83,0,86,0,-2,21,3,89,86,0
33511,56,0,80,-2,6,10,24,75,50,0
30857,56,0,76,0,-12,28,20,89,68,0
26756,47,44,77,0,-22,0,30,101,70,0
31670,55,-3,97,0,52,0,41,45,4,0
13872,55,0,96,0,44,4,41,52,12,0
19804,104,2,105,2,72,4,1,33,32,0
2855,56,0,97,2,50,0,41,48,6,0
9320,56,0,97,0,44,5,41,53,12,0
24488,81,-1,86,0,-22,13,4,109,104,0
42073,55,0,82,3,-10,0,26,92,66,0
9411,77,3,82,8,-40,19,5,123,118,0
3607,55,0,79,0,12,28,23,66,42,0
1712,103,1,104,8,70,0,1,35,34,0
35462,85,0,89,0,6,29,4,84,80,0
36955,55,0,93,-4,50,9,37,44,6,0
42621,55,0,79,4,18,0,23,61,38,0
8165,55,0,96,0,50,-6,41,47,6,0
21961,104,5,105,6,70,0,1,35,34,0
34541,56,0,95,0,38,-11,40,57,18,0
21773,55,0,95,0,52,0,40,44,4,0
8764,56,0,95,-2,46,0,39,48,10,0
26576,81,3,85,1,-42,-21,4,129,124,0
15273,55,-7,77,-11,0,0,22,77,56,0
10413,55,0,77,0,-2,-4,21,79,58,0
19483,56,0,78,-2,0,0,22,78,56,0
39434,56,0,97,0,42,0,40,55,14,0
23782,56,0,96,0,52,-7,40,44,4,0
21561,55,0,77,0,-4,8,21,82,60,0
8205,56,0,98,-3,46,0,42,51,10,0
34971,55,-1,96,0,38,-10,41,57,16,0
6751,105,1,108,0,70,0,2,38,36,0
41382,81,0,85,0,-40,2,4,126,122,0
25360,54,15,95,-2,50,0,42,46,4,0
8399,85,0,89,1,6,20,4,84,80,0
20619,55,0,77,0,-12,17,21,90,68,0
35056,56,0,77,0,18,5,22,59,38,0
7649,56,5,98,2,46,0,42,51,10,0
116,56,0,92,0,-2,-4,36,95,58,0
4069,55,0,95,0,44,0,40,51,12,0
13231,55,0,93,0,50,-11,38,44,6,0
19663,56,0,96,-3,50,-5,40,47,6,0
7998,101,0,102,0,72,2,1,29,28,0
14776,55,0,81,-7,-10,14,26,92,66,0
684,82,0,86,8,-10,14,4,97,92,0
2495,55,0,95,0,42,-2,40,54,14,0
9944,55,0,93,0,44,-8,37,49,12,0
25028,55,0,77,0,-30,-26,22,108,86,0
35347,55,0,83,4,-24,0,27,108,82,0
23283,56,0,81,0,0,21,25,81,56,0
31457,85,0,88,-5,0,0,3,88,84,0
13892,77,-1,81,0,-40,24,4,123,118,0
14141,55,0,77,0,12,-8,22,65,42,0
1606,55,0,96,0,46,-15,41,50,8,0
2220,56,2,79,0,6,0,23,74,50,0
2399,82,0,85,-2,-6,3,3,93,90,0
36282,55,0,95,-1,52,0,40,44,4,0
18194,82,1,86,0,-10,2,3,96,92,0
681,56,0,96,1,44,8,40,52,12,0
6556,55,-6,75,-22,0,0,20,75,54,0
11829,56,0,78,0,12,20,22,65,42,0
7788,55,0,93,3,44,-1,37,49,12,0
13323,56,-2,96,-3,52,-4,40,44,4,0
27650,85,0,88,0,0,-6,3,88,86,0
6783,55,0,79,1,24,-8,23,55,32,0
14855,84,-35,107,0,64,-3,22,42,20,0
2784,55,0,95,-2,44,0,40,51,12,0
2005,56,3,96,2,52,0,40,44,4,0
12408,55,0,77,0,34,7,22,44,22,0
9755,55,0,93,0,52,-29,38,42,4,0
41406,102,0,102,0,70,-15,1,33,32,0
28137,82,0,85,0,-6,19,3,93,90,0
39172,102,0,102,-4,72,22,1,30,30,0
3381,55,0,96,0,44,25,41,52,12,0
27642,55,-4,95,0,46,0,40,49,8,0
40341,79,5,83,0,-28,0,4,112,108,0
19646,107,1,108,3,70,-30,1,38,36,0
3014,56,0,91,0,-2,3,35,93,58,0
27687,102,6,103,3,70,-6,1,33,32,0
4038,56,1,97,0,52,7,41,45,4,0
6122,55,0,92,0,26,-4,36,66,30,0
25633,55,-1,98,0,42,23,42,57,14,0
6994,55,0,79,-2,26,-5,23,53,30,0
2272,55,-4,78,2,24,0,23,55,32,0
27945,55,0,93,2,44,-12,37,49,12,0
21795,56,0,77,-7,24,0,22,54,32,0
16598,55,0,95,0,52,-9,40,44,4,0
33974,56,0,96,0,50,-28,40,47,6,0
